size, algorithm, time
20,Bubble Sort,0
20,Merge Sort,0
20,Quick Sort,0
20,STL Sort,0
40,Bubble Sort,2
40,Merge Sort,1
40,Quick Sort,1
40,STL Sort,0
60,Bubble Sort,9
60,Merge Sort,3
60,Quick Sort,3
60,STL Sort,0
80,Bubble Sort,19
80,Merge Sort,6
80,Quick Sort,5
80,STL Sort,1
100,Bubble Sort,36
100,Merge Sort,10
100,Quick Sort,8
100,STL Sort,2
120,Bubble Sort,60
120,Merge Sort,15
120,Quick Sort,12
120,STL Sort,3
140,Bubble Sort,96
140,Merge Sort,23
140,Quick Sort,17
140,STL Sort,5
160,Bubble Sort,138
160,Merge Sort,31
160,Quick Sort,23
160,STL Sort,7
180,Bubble Sort,191
180,Merge Sort,39
180,Quick Sort,30
180,STL Sort,10
200,Bubble Sort,258
200,Merge Sort,48
200,Quick Sort,38
200,STL Sort,13
220,Bubble Sort,337
220,Merge Sort,60
220,Quick Sort,47
220,STL Sort,16
240,Bubble Sort,468
240,Merge Sort,72
240,Quick Sort,57
240,STL Sort,21
260,Bubble Sort,582
260,Merge Sort,87
260,Quick Sort,68
260,STL Sort,25
280,Bubble Sort,730
280,Merge Sort,102
280,Quick Sort,80
280,STL Sort,31
300,Bubble Sort,878
300,Merge Sort,118
300,Quick Sort,92
300,STL Sort,37
320,Bubble Sort,1064
320,Merge Sort,135
320,Quick Sort,106
320,STL Sort,42
340,Bubble Sort,1255
340,Merge Sort,154
340,Quick Sort,120
340,STL Sort,49
360,Bubble Sort,1475
360,Merge Sort,175
360,Quick Sort,137
360,STL Sort,56
380,Bubble Sort,1730
380,Merge Sort,195
380,Quick Sort,153
380,STL Sort,63
400,Bubble Sort,2006
400,Merge Sort,232
400,Quick Sort,176
400,STL Sort,71
420,Bubble Sort,2316
420,Merge Sort,258
420,Quick Sort,196
420,STL Sort,79
440,Bubble Sort,2647
440,Merge Sort,282
440,Quick Sort,216
440,STL Sort,88
460,Bubble Sort,3000
460,Merge Sort,307
460,Quick Sort,237
460,STL Sort,96
480,Bubble Sort,3384
480,Merge Sort,333
480,Quick Sort,258
480,STL Sort,105
500,Bubble Sort,3813
500,Merge Sort,360
500,Quick Sort,280
500,STL Sort,114
520,Bubble Sort,4301
520,Merge Sort,390
520,Quick Sort,304
520,STL Sort,124
540,Bubble Sort,4787
540,Merge Sort,421
540,Quick Sort,328
540,STL Sort,135
560,Bubble Sort,5306
560,Merge Sort,452
560,Quick Sort,352
560,STL Sort,147
580,Bubble Sort,5858
580,Merge Sort,486
580,Quick Sort,379
580,STL Sort,159
600,Bubble Sort,6468
600,Merge Sort,519
600,Quick Sort,406
600,STL Sort,172
620,Bubble Sort,7101
620,Merge Sort,555
620,Quick Sort,435
620,STL Sort,185
640,Bubble Sort,7776
640,Merge Sort,592
640,Quick Sort,465
640,STL Sort,198
660,Bubble Sort,8493
660,Merge Sort,630
660,Quick Sort,494
660,STL Sort,212
680,Bubble Sort,9569
680,Merge Sort,678
680,Quick Sort,533
680,STL Sort,230
700,Bubble Sort,10392
700,Merge Sort,720
700,Quick Sort,568
700,STL Sort,245
720,Bubble Sort,11291
720,Merge Sort,763
720,Quick Sort,603
720,STL Sort,261
740,Bubble Sort,12213
740,Merge Sort,812
740,Quick Sort,638
740,STL Sort,277
760,Bubble Sort,13202
760,Merge Sort,860
760,Quick Sort,674
760,STL Sort,294
780,Bubble Sort,14237
780,Merge Sort,908
780,Quick Sort,711
780,STL Sort,311
800,Bubble Sort,15321
800,Merge Sort,955
800,Quick Sort,749
800,STL Sort,327
820,Bubble Sort,16450
820,Merge Sort,1004
820,Quick Sort,789
820,STL Sort,344
840,Bubble Sort,17630
840,Merge Sort,1054
840,Quick Sort,829
840,STL Sort,362
860,Bubble Sort,18881
860,Merge Sort,1105
860,Quick Sort,871
860,STL Sort,379
880,Bubble Sort,20185
880,Merge Sort,1157
880,Quick Sort,913
880,STL Sort,397
900,Bubble Sort,21549
900,Merge Sort,1210
900,Quick Sort,957
900,STL Sort,417
920,Bubble Sort,22979
920,Merge Sort,1265
920,Quick Sort,1001
920,STL Sort,435
940,Bubble Sort,24481
940,Merge Sort,1323
940,Quick Sort,1049
940,STL Sort,455
960,Bubble Sort,26108
960,Merge Sort,1386
960,Quick Sort,1099
960,STL Sort,476
980,Bubble Sort,27744
980,Merge Sort,1457
980,Quick Sort,1151
980,STL Sort,498
1000,Bubble Sort,29413
1000,Merge Sort,1526
1000,Quick Sort,1203
1000,STL Sort,519
